title,release_year,genres,score,budget,revenue
Well Suited For Christmas,2022.0,"TV Movie, Comedy, Romance, Drama",63.0,157600000.0,438742414.8
Welcome to the Sticks,2008.0,Comedy,67.0,11000000.0,53191886.0
Welcome to the South,2010.0,Comedy,66.0,4000000.0,65584679.0
Welcome to the Punch,2013.0,"Action, Adventure, Crime",61.0,8500000.0,1000000.0
Welcome to the North,2012.0,Comedy,56.0,6000000.0,35000000.0
Welcome to the Jungle,2013.0,Comedy,51.0,3500000.0,7057999.2
Welcome to the Dollhouse,1996.0,"Comedy, Drama",72.0,800000.0,5034794.0
Welcome to the Club,2022.0,"Animation, Comedy",66.0,124000000.0,690278154.2
Welcome to Smelliville,2021.0,"Animation, Adventure, Family, Fantasy",71.0,31389400.0,1965219.0
Welcome to Mooseport,2004.0,Comedy,48.0,30000000.0,14000000.0
Welcome to Dongmakgol,2005.0,"War, Comedy, Drama, History",77.0,8.0,33579813.0
Welcome Home Roscoe Jenkins,2008.0,"Comedy, Drama",57.0,35000000.0,43650785.0
Welcome Home,2018.0,"Thriller, Horror",52.0,136000000.0,544681313.6
Weird: The Al Yankovic Story,2023.0,"Music, Comedy",69.0,12000000.0,238918244.6
Weird Science,1985.0,"Comedy, Romance, Science Fiction",66.0,7500000.0,38934048.0
Weekend at Bernie's,1989.0,Comedy,64.0,6500000.0,30218387.0
Weekend,2011.0,"Drama, Romance",76.0,190000.0,1000000.0
Wedding Daze,2007.0,Comedy,55.0,70800000.0,591573175.2
Wedding Crashers,2005.0,"Comedy, Romance",64.0,40000000.0,285176741.0
Weaponized,2016.0,"Thriller, Action, Science Fiction",39.0,118800000.0,842846355.6
